,index,Vegetable,year,hs07,import_val
0,0,Aubergines,2008,70930,1816766.25
1,1,Aubergines,2009,70930,254662.5
2,2,Aubergines,2010,70930,1135882.5750000002
3,3,Aubergines,2011,70930,298447.5
4,4,Aubergines,2012,70930,667530.0
5,5,Aubergines,2013,70930,2744175.0
6,6,Aubergines,2014,70930,2992856.25
7,7,Aubergines,2015,70930,1963158.4875
8,8,Aubergines,2016,70930,3795045.0
9,9,Aubergines,2017,70930,2544120.0
10,10,Beans,2008,70820,6938025.0
11,11,Beans,2009,70820,10626622.5
12,12,Beans,2010,70820,9006437.5125
13,13,Beans,2011,70820,5959965.637499999
14,14,Beans,2012,70820,8289906.6375
15,15,Beans,2013,70820,6002627.287500001
16,16,Beans,2014,70820,4624965.0
17,17,Beans,2015,70820,8716583.3625
18,18,Beans,2016,70820,3001668.75
19,19,Beans,2017,70820,3483675.0
20,20,Brussel Sprouts,2008,70420,74917.5
21,21,Brussel Sprouts,2009,70420,381930.0
22,22,Brussel Sprouts,2010,70420,1149951.4874999998
23,23,Brussel Sprouts,2011,70420,1169958.9375
24,24,Brussel Sprouts,2012,70420,1523563.5
25,25,Brussel Sprouts,2013,70420,106687.5
26,26,Brussel Sprouts,2014,70420,100181.25
27,27,Brussel Sprouts,2015,70420,319301.39999999997
28,28,Brussel Sprouts,2016,70420,419966.25
29,29,Brussel Sprouts,2017,70420,614426.25
30,30,Carrots,2008,70610,24119400.0
31,31,Carrots,2009,70610,24436368.75
32,32,Carrots,2010,70610,35041956.4125
33,33,Carrots,2011,70610,44606602.5
34,34,Carrots,2012,70610,44902724.4
35,35,Carrots,2013,70610,37322962.5
36,36,Carrots,2014,70610,53150921.25
37,37,Carrots,2015,70610,58566102.4875
38,38,Carrots,2016,70610,60896460.0
39,39,Carrots,2017,70610,60712530.0
40,40,Cauliflowers and Broccoli,2008,70410,1421085.0
41,41,Cauliflowers and Broccoli,2009,70410,2620162.5
42,42,Cauliflowers and Broccoli,2010,70410,6866971.6125
43,43,Cauliflowers and Broccoli,2011,70410,7271980.725000001
44,44,Cauliflowers and Broccoli,2012,70410,9188771.137500001
45,45,Cauliflowers and Broccoli,2013,70410,9654318.75
46,46,Cauliflowers and Broccoli,2014,70410,14427048.75
47,47,Cauliflowers and Broccoli,2015,70410,18454834.0875
48,48,Cauliflowers and Broccoli,2016,70410,16604730.0
49,49,Cauliflowers and Broccoli,2017,70410,23468441.25
50,50,Cucumbers,2008,70700,133616.25
51,51,Cucumbers,2009,70700,5744242.5
52,52,Cucumbers,2010,70700,956129.3624999999
53,53,Cucumbers,2011,70700,986845.9124999999
54,54,Cucumbers,2012,70700,2153452.875
55,55,Cucumbers,2013,70700,2046570.2624999997
56,56,Cucumbers,2014,70700,3205500.0
57,57,Cucumbers,2015,70700,4144680.3375000004
58,58,Cucumbers,2016,70700,8067300.0
59,59,Cucumbers,2017,70700,24434141.25
60,60,Garlic,2008,70320,45949421.25
61,61,Garlic,2009,70320,83756313.75
62,62,Garlic,2010,70320,173248071.675
63,63,Garlic,2011,70320,149276100.4875
64,64,Garlic,2012,70320,126070085.6625
65,65,Garlic,2013,70320,106697151.225
66,66,Garlic,2014,70320,115588061.25
67,67,Garlic,2015,70320,161588564.625
68,68,Garlic,2016,70320,291619807.5
69,69,Garlic,2017,70320,230488188.75
70,70,Lettuce and Cabbage,2008,141030,19164596.25
71,71,Lettuce and Cabbage,2009,141030,24718683.75
72,72,Lettuce and Cabbage,2010,141030,34687970.8875
73,73,Lettuce and Cabbage,2011,141030,41423479.199999996
74,74,Lettuce and Cabbage,2012,141030,51700258.125
75,75,Lettuce and Cabbage,2013,141030,54220165.837500006
76,76,Lettuce and Cabbage,2014,141030,65186827.5
77,77,Lettuce and Cabbage,2015,141030,135931785.63750002
78,78,Lettuce and Cabbage,2016,141030,94372788.75
79,79,Lettuce and Cabbage,2017,141030,81790282.5
80,80,Onions,2008,70310,239333414.625
81,81,Onions,2009,70310,436188485.5125
82,82,Onions,2010,70310,438122514.03749996
83,83,Onions,2011,70310,413924766.1875
84,84,Onions,2012,70310,370715447.1
85,85,Onions,2013,70310,326159971.27500004
86,86,Onions,2014,70310,349459852.5
87,87,Onions,2015,70310,506372028.29999995
88,88,Onions,2016,70310,471954071.25
89,89,Onions,2017,70310,404699531.25
90,90,Peas,2008,70810,2519373.75
91,91,Peas,2009,70810,3430983.75
92,92,Peas,2010,70810,3197262.9375
93,93,Peas,2011,70810,2786306.4000000004
94,94,Peas,2012,70810,4210796.25
95,95,Peas,2013,70810,1745696.25
96,96,Peas,2014,70810,626842.5
97,97,Peas,2015,70810,5780499.375
98,98,Peas,2016,70810,432243.75
99,99,Peas,2017,70810,735926.25
100,100,Potatoes,2008,140300,111588729.26249999
101,101,Potatoes,2009,140300,131313102.525
102,102,Potatoes,2010,140300,109372132.3875
103,103,Potatoes,2011,140300,127803588.225
104,104,Potatoes,2012,140300,115243679.5875
105,105,Potatoes,2013,140300,59956898.512499996
106,106,Potatoes,2014,140300,102655856.25
107,107,Potatoes,2015,140300,121542068.475
108,108,Potatoes,2016,140300,88460651.25
109,109,Potatoes,2017,140300,65027512.5
110,110,Tomatoes,2008,70200,208664433.9
111,111,Tomatoes,2009,70200,302408691.9375
112,112,Tomatoes,2010,70200,302694738.41249996
113,113,Tomatoes,2011,70200,240403483.8
114,114,Tomatoes,2012,70200,278908709.2875
115,115,Tomatoes,2013,70200,333797565.48749995
116,116,Tomatoes,2014,70200,337731911.25
117,117,Tomatoes,2015,70200,416312106.11249995
118,118,Tomatoes,2016,70200,515382165.0
119,119,Tomatoes,2017,70200,404810171.25
