,0,1,2,3,4,5
0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.1,0.0,0.0,0.0,0.0,0.0
2,3.433333333333333,0.03333333333333333,0.0,0.0,0.0,0.0
3,7.733333333333333,0.3,0.0,0.0,0.0,0.0
4,9.033333333333333,0.7,0.0,0.0,0.0,0.0
5,18.6,1.9,0.0,0.0,0.0,0.0
6,36.7,3.7666666666666666,0.0,0.0,0.0,0.0
7,40.56666666666667,6.866666666666666,0.0,0.0,0.0,0.0
8,80.06666666666666,12.066666666666666,0.0,0.0,0.0,0.0
9,153.86666666666667,20.2,0.0,0.0,0.0,0.0
10,169.36666666666667,33.46666666666667,0.0,0.0,0.0,0.0
11,190.9,55.06666666666667,0.0,0.0,0.0,0.0
12,215.36666666666667,84.06666666666666,0.03333333333333333,0.0,0.0,0.0
13,245.53333333333333,121.33333333333333,0.06666666666666667,0.0,0.0,0.0
14,283.8,161.23333333333332,0.2,0.0,0.0,0.0
15,335.1333333333333,203.06666666666666,0.26666666666666666,0.0,0.0,0.0
16,390.2,255.43333333333334,0.36666666666666664,0.0,0.03333333333333333,0.0
17,445.46666666666664,317.6333333333333,0.6333333333333333,0.06666666666666667,0.3,0.0
18,507.26666666666665,389.46666666666664,1.0333333333333334,0.06666666666666667,0.7,0.0
19,582.4666666666667,468.1,1.7333333333333334,0.2,1.9,0.0
20,651.1,559.9666666666667,2.3666666666666667,0.26666666666666666,3.8,0.0
21,712.4666666666667,661.3,3.0,0.4,6.9,0.0
22,778.4666666666667,774.1666666666666,4.066666666666666,0.4,12.2,0.0
23,839.8666666666667,898.5666666666667,5.133333333333334,0.5333333333333333,20.266666666666666,0.0
24,902.3,1031.5333333333333,6.533333333333333,0.8,33.56666666666667,0.0
25,959.8666666666667,1168.8,8.033333333333333,1.0666666666666667,55.3,0.03333333333333333
26,998.6666666666666,1304.8333333333333,9.933333333333334,1.3666666666666667,84.4,0.03333333333333333
27,1034.7333333333333,1447.0,11.8,1.8,121.9,0.13333333333333333
28,1070.3666666666666,1592.2333333333333,13.766666666666667,2.3,161.7,0.2
29,1105.7666666666667,1744.4,16.8,2.7,203.5,0.23333333333333334
30,1133.9333333333334,1896.7,18.5,3.1333333333333333,256.23333333333335,0.4
31,1162.1,2044.2,20.9,3.6666666666666665,318.8666666666667,0.5
32,1194.4,2182.9666666666667,23.133333333333333,4.333333333333333,391.53333333333336,0.7
33,1232.1666666666667,2313.733333333333,25.433333333333334,4.933333333333334,472.06666666666666,0.9
34,1264.2666666666667,2443.6,27.266666666666666,5.133333333333334,566.7,1.0
35,1287.4,2574.0333333333333,29.666666666666668,5.433333333333334,671.8,1.1333333333333333
36,1319.1333333333334,2693.2,31.666666666666668,5.766666666666667,790.6,1.2666666666666666
37,1325.1,2801.5666666666666,33.13333333333333,6.033333333333333,924.7,1.4
38,1332.2333333333333,2900.0333333333333,35.9,6.066666666666666,1070.9333333333334,1.8333333333333333
39,1337.6666666666667,2989.6,37.7,6.333333333333333,1231.7666666666667,2.0
40,1342.0666666666666,3076.233333333333,39.1,6.7,1398.7333333333333,2.3
41,1344.8333333333333,3152.266666666667,40.93333333333333,6.866666666666666,1580.1333333333334,2.8333333333333335
42,1356.7666666666667,3217.9,42.766666666666666,6.933333333333334,1766.7666666666667,3.2
43,1366.5,3273.1666666666665,44.233333333333334,7.166666666666667,1964.6,3.7333333333333334
44,1369.4333333333334,3324.0666666666666,45.266666666666666,7.7,2171.133333333333,4.1
45,1374.4,3370.3,46.43333333333333,7.6,2383.9666666666667,4.6
46,1380.7333333333333,3418.8,46.96666666666667,7.8,2598.133333333333,5.133333333333334
47,1382.4666666666667,3468.0,48.1,7.733333333333333,2811.733333333333,5.766666666666667
48,1394.3333333333333,3502.766666666667,48.266666666666666,8.033333333333333,3037.866666666667,6.233333333333333
49,1400.8666666666666,3528.5,48.833333333333336,8.233333333333333,3275.9333333333334,6.933333333333334
50,1408.9666666666667,3554.1666666666665,49.833333333333336,8.1,3515.133333333333,7.7
51,1414.0333333333333,3577.1666666666665,50.06666666666667,7.933333333333334,3759.6,8.066666666666666
52,1423.5333333333333,3596.4,50.266666666666666,7.9,4006.3333333333335,8.4
53,1430.9,3616.6666666666665,49.766666666666666,7.533333333333333,4258.566666666667,8.9
54,1437.7,3632.0,50.46666666666667,7.066666666666666,4513.266666666666,9.633333333333333
55,1444.3333333333333,3642.766666666667,49.266666666666666,7.533333333333333,4772.766666666666,10.4
56,1453.7,3663.6,49.63333333333333,7.833333333333333,5026.3,10.933333333333334
57,1456.1333333333334,3684.8333333333335,48.9,8.033333333333333,5281.9,11.4
58,1460.9666666666667,3701.8,48.86666666666667,8.033333333333333,5540.066666666667,12.333333333333334
59,1464.5,3721.7,48.86666666666667,7.633333333333334,5800.433333333333,12.866666666666667
60,1463.7666666666667,3739.633333333333,49.56666666666667,7.866666666666666,6063.7,13.466666666666667
61,1452.3333333333333,3750.2,50.9,7.966666666666667,6326.6,14.366666666666667
62,1428.0333333333333,3774.1666666666665,51.13333333333333,7.9,6588.733333333334,14.933333333333334
63,1416.0,3781.8,52.13333333333333,7.966666666666667,6852.9,15.433333333333334
64,1394.6,3794.2,51.96666666666667,8.266666666666667,7119.1,16.266666666666666
65,1376.9,3798.9,53.46666666666667,8.033333333333333,7386.133333333333,16.733333333333334
66,1358.7,3795.266666666667,54.266666666666666,7.833333333333333,7652.5,17.133333333333333
67,1338.9666666666667,3787.6,54.9,7.7,7923.9,17.833333333333332
68,1305.4666666666667,3776.4333333333334,55.03333333333333,7.666666666666667,8195.133333333333,18.3
69,1280.6666666666667,3763.233333333333,54.266666666666666,8.233333333333333,8463.966666666667,19.1
70,1250.2,3741.6666666666665,54.36666666666667,8.233333333333333,8738.466666666667,19.8
71,1219.5666666666666,3714.733333333333,53.53333333333333,8.0,9014.833333333334,20.466666666666665
72,1196.1,3681.266666666667,52.766666666666666,7.966666666666667,9290.533333333333,20.933333333333334
73,1174.1,3638.4666666666667,51.43333333333333,8.166666666666666,9571.4,21.7
74,1150.3,3585.8,50.666666666666664,8.1,9852.666666666666,22.6
75,1130.3666666666666,3535.8,49.8,8.033333333333333,10127.633333333333,23.233333333333334
76,1098.5333333333333,3474.1666666666665,48.5,8.066666666666666,10414.133333333333,23.966666666666665
77,1069.8666666666666,3417.9333333333334,48.06666666666667,8.2,10685.8,24.566666666666666
78,1041.7666666666667,3349.9333333333334,47.5,8.066666666666666,10964.566666666668,25.133333333333333
79,1016.4666666666667,3280.0666666666666,47.266666666666666,8.0,11236.766666666666,25.733333333333334
80,985.8333333333334,3222.4,46.96666666666667,7.833333333333333,11500.1,26.5
81,960.2666666666667,3152.366666666667,46.03333333333333,8.266666666666667,11764.766666666666,27.2
82,941.2,3077.266666666667,46.1,8.4,12024.466666666667,27.833333333333332
83,920.0333333333333,3008.233333333333,45.6,8.0,12280.133333333333,28.333333333333332
84,898.7666666666667,2938.4333333333334,44.266666666666666,7.966666666666667,12533.366666666667,28.9
85,875.9333333333333,2868.1666666666665,42.766666666666666,8.033333333333333,12782.0,29.266666666666666
86,857.0333333333333,2800.733333333333,42.13333333333333,7.8,13023.366666666667,29.866666666666667
87,833.9,2732.4666666666667,42.4,7.6,13260.066666666668,30.366666666666667
88,816.4666666666667,2668.233333333333,41.5,7.633333333333334,13488.1,30.866666666666667
89,794.3,2603.766666666667,40.4,7.1,13712.5,31.2
90,771.5,2535.3333333333335,38.13333333333333,6.766666666666667,13936.966666666667,31.666666666666668
91,751.1666666666666,2473.9333333333334,37.13333333333333,6.4,14150.933333333332,32.266666666666666
92,732.2,2414.2,36.7,6.233333333333333,14360.9,32.63333333333333
93,715.0333333333333,2358.133333333333,35.5,6.333333333333333,14563.533333333333,32.9
94,700.9,2293.8333333333335,34.5,5.733333333333333,14769.466666666667,33.233333333333334
95,681.7,2242.9,32.6,5.466666666666667,14964.366666666667,33.7
96,670.3333333333334,2190.4666666666667,31.466666666666665,5.266666666666667,15148.9,34.2
97,651.0,2138.9666666666667,30.833333333333332,5.166666666666667,15334.566666666668,34.666666666666664
98,636.7333333333333,2083.5,30.733333333333334,4.766666666666667,15516.7,35.166666666666664
99,623.6,2033.0,31.3,4.666666666666667,15693.433333333332,35.63333333333333
100,612.3,1983.5666666666666,30.1,4.8,15867.3,35.9
101,602.4,1934.1,30.233333333333334,4.5,16035.733333333334,36.13333333333333
102,586.6666666666666,1891.5333333333333,29.566666666666666,4.4,16198.8,36.7
103,579.9,1844.9666666666667,29.2,4.166666666666667,16357.3,37.13333333333333
104,564.6,1807.4666666666667,28.666666666666668,4.5,16511.166666666668,37.36666666666667
105,548.4,1768.4666666666667,27.566666666666666,4.233333333333333,16662.833333333332,37.86666666666667
106,539.7333333333333,1725.5666666666666,27.133333333333333,4.233333333333333,16812.466666666667,38.233333333333334
107,529.4333333333333,1686.7333333333333,26.3,4.133333333333334,16958.633333333335,38.53333333333333
108,518.3333333333334,1652.0666666666666,25.933333333333334,4.3,17097.666666666668,38.9
109,507.26666666666665,1612.8,24.7,4.133333333333334,17240.3,39.2
110,496.1333333333333,1581.8333333333333,24.8,3.8,17370.5,39.4
111,484.56666666666666,1546.9,24.033333333333335,3.8333333333333335,17503.933333333334,39.833333333333336
112,473.2,1517.8666666666666,23.3,3.6666666666666665,17630.833333333332,40.0
113,463.8,1483.3333333333333,23.2,3.6666666666666665,17757.0,40.46666666666667
114,454.7,1450.3333333333333,22.733333333333334,3.6,17881.1,40.733333333333334
115,443.8333333333333,1423.5,21.833333333333332,3.7333333333333334,17999.8,41.1
116,441.3333333333333,1390.4333333333334,21.466666666666665,3.7333333333333334,18119.766666666666,41.2
117,438.93333333333334,1365.4333333333334,21.533333333333335,3.7,18230.8,41.43333333333333
118,439.43333333333334,1335.7666666666667,20.6,3.466666666666667,18347.133333333335,41.733333333333334
119,433.03333333333336,1309.3666666666666,20.4,3.2666666666666666,18458.466666666667,42.0
